source,target,length,voltage_kV,capacity_MW,reactance
8,6,33.044187926816974,138,2807.871056184994,6.940598178285439e-05
8,7,36.914606680093414,138,2602.522151715056,7.753540575528967e-05
8,9,54.67013484483276,230,7822.723779795939,4.133847625318167e-05
9,10,34.0124811220264,138,2270.479601491178,7.143978391519933e-05
9,61,33.46199469487884,138,2705.9264572526317,7.028354273236471e-05
9,75,46.81058087032567,138,2405.8896770735596,9.832090079883569e-05
9,205,54.183844155143724,230,6215.645723207555,4.097077062770792e-05
9,208,32.02429186422857,138,2624.0171983831283,6.726379303555676e-05
10,50,32.759166982876714,138,1635.2773259304954,6.880732405561166e-05
13,5,18.316910836614852,138,2397.4566704849926,3.84728225931839e-05
13,12,35.30889275162557,138,1487.062593768446,7.416276570389744e-05
13,14,65.76076283374532,230,5289.543436577289,4.97245843733424e-05
13,15,31.92990385173905,138,2396.758134180773,6.706554054135486e-05
13,83,69.15196428773373,230,5489.340917111078,5.2288819877303396e-05
5,120,29.574023484025677,138,1875.5641146632627,6.211725159425682e-05
14,16,34.2475467208514,138,2814.159227797014,7.193351548172948e-05
14,17,35.23048501163872,138,1788.9053798439754,7.399807815929157e-05
14,29,43.72768010253586,138,1742.9447517319118,9.184557887531162e-05
14,147,56.54601502047781,230,6531.915669098711,4.2756911168603264e-05
19,18,25.801980269291214,138,1558.0268306813873,5.4194455512058835e-05
19,20,68.26279137797566,230,4107.165990554287,5.161647741245797e-05
19,130,60.827726052927524,230,6084.307779929539,4.59944998509849e-05
18,190,24.7941682851634,138,1708.1033678317501,5.2077648151992014e-05
20,199,73.2972377610895,230,6732.714666628461,5.542324216339472e-05
29,130,57.152606484827835,230,4035.1678800862655,4.321558146300782e-05
29,160,39.239948591875184,138,1491.6715677365023,8.241955175777188e-05
34,33,24.24555478255963,138,2748.869950687956,5.092534085813827e-05
34,35,39.62955256259777,138,2215.8366320177433,8.323787557781512e-05
34,97,42.47934952093547,138,2302.683747100744,8.922358647539481e-05
35,36,120.50563990884275,345,12692.965385663438,4.049758955138593e-05
35,69,143.0481415423193,345,10423.80538680015,4.8073309487021824e-05
35,141,75.73974908125389,230,7351.069868064824,5.727013163043773e-05
35,142,36.87748612575019,138,2288.5065040580503,7.745743777725307e-05
36,37,23.38331274418788,138,2482.5785514002964,4.9114288477605286e-05
36,38,28.653897473762534,138,2848.998395757599,6.018461977265813e-05
36,39,25.271283804484515,138,1532.8955896743626,5.307978114783556e-05
36,47,76.24527412002143,230,7235.656447743513,5.7652381187161774e-05
36,157,105.1033173043601,230,4290.504319745576,7.947320779157665e-05
42,41,109.91754412453051,230,4958.029796703785,8.311345491457884e-05
42,98,108.69173301884564,230,6952.485276243446,8.218656560971315e-05
42,181,33.88932695876091,138,1695.930613838382,7.118111102449257e-05
41,58,44.21167817405022,138,2182.305172326746,9.286216797742118e-05
41,167,28.616775868158125,138,1931.6933804031157,6.01066495865535e-05
41,218,84.85104938232453,230,5601.615583929595,6.41595836539316e-05
41,232,51.17754034186182,230,6329.305349355427,3.869757303732463e-05
47,44,21.9582125277195,138,2148.144739062825,4.612100929997795e-05
47,45,24.229811319632663,138,2899.141062127796,5.0892273303156195e-05
47,46,108.39373263517265,230,7587.008501303633,8.196123450674682e-05
47,171,131.29812715801015,345,10204.523593367885,4.412455439042559e-05
46,184,107.070858092807,230,4873.723116164061,8.096095129890889e-05
50,139,44.487261571880346,138,1615.5812282799598,9.344100309153613e-05
50,205,33.24790626103393,138,2394.5877097889725,6.983387158377218e-05
51,21,33.392404396503096,138,2105.032702949461,7.013737533396995e-05
51,120,34.70102272199609,138,2990.033848499025,7.288599605544233e-05
51,194,49.24096660075643,138,1483.7433453699998,0.00010342568074092926
21,176,28.307958012576613,138,2404.056333955022,5.9458008848092024e-05
53,24,40.89054834262065,138,2312.522319552177,8.588646994879362e-05
53,231,34.64021962044122,138,2589.494536921813,7.275828527712921e-05
24,4461,46.206739763253154,138,2223.476909703258,9.705259349559577e-05
58,25,37.20497541546436,138,2500.6339127205183,7.814529597871111e-05
58,59,34.55499922189702,138,1909.1290653413143,7.257928843078559e-05
58,167,24.24488381562177,138,1776.6481206282763,5.0923931559802076e-05
25,136,32.67647717586002,138,1678.1547939072407,6.86336424613737e-05
59,60,35.92052864597198,138,1467.3513713009388,7.544744517112366e-05
60,154,43.87131211788521,138,2313.7595995110337,9.21472634276102e-05
61,188,37.37720168622708,138,1593.3714857039363,7.85070398786538e-05
61,209,34.664199090649745,138,1744.4050712418557,7.280865173419397e-05
62,31,28.76233668945557,138,2994.473919841149,6.04123854010829e-05
62,154,35.792878068911904,138,2038.7287145347718,7.517932801703823e-05
31,104,33.23394686855741,138,2971.4224390949926,6.980455128871541e-05
68,63,30.8304377773459,138,1504.7974625139427,6.47562230147992e-05
68,64,33.20067108189988,138,1640.7413232229555,6.97346588571726e-05
68,65,31.666908137540155,138,1629.6209476127087,6.651314458630573e-05
68,69,139.90975557357598,345,12768.961484529704,4.701861140888922e-05
68,979,61.14189039323041,230,4291.995770569138,4.62320532273954e-05
68,4893,124.65203767494272,345,13998.660485336657,4.189104395713261e-05
69,66,23.0993434686031,138,2466.3096130982335,4.8517839673604494e-05
69,70,216.63901497958508,345,11064.791082868047,7.280454189610084e-05
69,1030,137.1196414103975,345,11194.397386472172,4.608095489532367e-05
69,1052,119.34913990272156,230,6682.4705031521635,9.02450963347611e-05
69,2344,184.994052386976,345,12791.88148455634,6.21698138666586e-05
70,67,23.943847058486565,138,2015.4467414890576,5.029163423332612e-05
70,108,217.6829895401339,345,13991.541817040015,7.31553840084466e-05
73,72,32.496681706969675,138,1644.915865738331,6.8256000224679e-05
73,91,34.005224115861964,138,2158.445941995829,7.142454130615829e-05
73,231,31.393441076912907,138,2450.0337613653824,6.593875462489583e-05
72,112,21.18585447722134,138,1861.4962499866497,4.449874916450607e-05
72,215,26.611839880944007,138,2329.492259021157,5.589548389192188e-05
75,48,49.87830080510065,138,2273.1391305854077,0.00010476433691472517
48,101,36.53188811362615,138,2869.421580224785,7.6731544031981e-05
48,106,35.348956545745466,138,1662.4704576005502,7.424691566004088e-05
77,76,63.75017756077711,230,6863.011389256324,4.8204293051627305e-05
77,170,17.235319045042388,138,1864.8738167054717,3.620104819374582e-05
77,191,68.54959806845038,230,5018.341708268298,5.183334447519878e-05
76,86,48.15646369986169,138,1824.6364020623262,0.00010114779185016107
76,110,30.691297684601036,138,1833.9691600088943,6.446397329258776e-05
76,185,28.953428951053333,138,2188.6272415420876,6.081375541074004e-05
79,78,64.12449493085855,230,7974.607248097799,4.848733076057357e-05
79,80,67.63231531272393,230,7933.169450670117,5.113974692833568e-05
78,109,56.696952140802914,230,7770.148889701612,4.28710413162971e-05
80,184,71.9226651174232,230,6086.2965940924005,5.438386776364703e-05
80,199,94.85301416668256,230,5865.957139968858,7.172250598614938e-05
80,989,66.23787968637895,230,5285.887126280901,5.008535326002189e-05
82,81,48.4487573501994,138,2272.858792446333,0.00010176172516319974
82,98,52.37914499200802,230,7079.454425681101,3.9606158784127055e-05
81,2562,46.200334846115524,138,2292.0165062439105,9.703914061355917e-05
83,218,77.53038071834557,230,4133.138164912536,5.862410640328588e-05
83,221,44.665812420402645,138,2391.763010652249,9.381603112876001e-05
86,71,45.616123827113995,138,2989.8195955882284,9.581206432916192e-05
86,110,23.325025058149453,138,2160.7053580659936,4.8991861075718234e-05
71,224,35.66890674498586,138,1866.4733542312276,7.491893876283525e-05
88,4,25.21089726277115,138,2246.769338583853,5.2952945311428586e-05
88,55,24.368177747269073,138,1649.9097927001446,5.1182898019888824e-05
88,87,37.90770776138408,138,1898.2476656630226,7.962131434863282e-05
88,90,18.06517152456622,138,2287.7546330017462,3.794406957480828e-05
88,172,43.431963177637925,138,1401.0223910440427,9.122445531955035e-05
88,178,58.12913698850172,230,7845.310266717996,4.395397881928297e-05
88,195,37.66438927511507,138,2475.8994712119434,7.911024842494238e-05
88,198,41.07423575254925,138,1576.899866883399,8.627228681484824e-05
55,107,21.36600697194729,138,2614.7154209554883,4.487714129793592e-05
87,89,25.85655891811012,138,1842.3757674853482,5.4309092455597816e-05
91,496,64.54640009267827,230,5727.257235701131,4.880635167688338e-05
91,4446,62.48555638999627,230,4517.493813024911,4.724805776181193e-05
94,11,26.5692355954965,138,1995.512255586136,5.580599789014178e-05
94,26,55.12208958956657,230,5608.119238572018,4.168021897131688e-05
94,43,46.75337174746333,138,2698.5838818600278,9.82007388100469e-05
94,92,66.06285192806767,230,6186.560857131828,4.995300712897367e-05
94,93,27.89370773046312,138,1733.07392725028,5.8587917938380845e-05
94,95,74.16379461676027,230,7329.244306693065,5.607848364216278e-05
94,131,49.82237417486349,138,2945.742388758729,0.00010464686867226105
11,125,25.057225482413237,138,2739.940983667553,5.263017324598454e-05
26,131,13.212486848754088,138,2659.242386486635,2.7751495166465213e-05
26,139,44.54708690670694,138,1475.7101665170294,9.356666016951678e-05
26,203,24.009016640462374,138,1807.7835574514693,5.042851636307997e-05
43,163,34.007867834185085,138,2694.3224784929794,7.143009416968092e-05
92,123,60.07484602868078,230,5044.2157218262655,4.542521438841648e-05
92,174,58.81592486336507,230,7971.232497491899,4.4473289121637106e-05
95,129,135.30806432030906,345,16174.483595962585,4.547214931999464e-05
